# Intensity Error [H,0,0] DeltaE
#  shape: 140x100
4.835561e-05 8.548460e-06 3.075000e+00 5.475000e+01
4.432848e-05 8.093612e-06 3.075000e+00 5.525000e+01
4.807687e-05 8.369459e-06 3.075000e+00 5.575000e+01
4.342873e-05 7.929242e-06 3.075000e+00 5.625000e+01
5.919731e-05 9.479558e-06 3.075000e+00 5.675000e+01
4.615120e-05 8.289360e-06 3.075000e+00 5.725000e+01
3.664456e-05 7.329263e-06 3.075000e+00 5.775000e+01
2.639614e-05 6.221840e-06 3.075000e+00 5.825000e+01
4.144346e-05 7.696193e-06 3.075000e+00 5.875000e+01
3.031820e-05 6.779510e-06 3.075000e+00 5.925000e+01
3.959718e-05 7.765932e-06 3.075000e+00 5.975000e+01
5.353140e-05 9.048730e-06 3.075000e+00 6.025000e+01
6.099672e-05 9.526318e-06 3.075000e+00 6.075000e+01
7.094675e-05 1.034893e-05 3.075000e+00 6.125000e+01
6.502643e-05 1.015574e-05 3.075000e+00 6.175000e+01
8.141322e-05 1.140037e-05 3.075000e+00 6.225000e+01
4.586975e-05 8.374840e-06 3.075000e+00 6.275000e+01
4.499003e-05 8.354680e-06 3.075000e+00 6.325000e+01
4.736106e-05 8.794934e-06 3.075000e+00 6.375000e+01
4.356018e-05 8.383384e-06 3.075000e+00 6.425000e+01
3.344335e-05 7.130388e-06 3.075000e+00 6.475000e+01
4.243313e-05 8.322093e-06 3.075000e+00 6.525000e+01
5.183258e-05 9.309639e-06 3.075000e+00 6.575000e+01
4.519745e-05 8.393171e-06 3.075000e+00 6.625000e+01
4.953146e-05 9.198006e-06 3.075000e+00 6.675000e+01
4.241219e-05 8.657629e-06 3.075000e+00 6.725000e+01
3.198373e-05 7.337799e-06 3.075000e+00 6.775000e+01
3.274422e-05 7.941802e-06 3.075000e+00 6.825000e+01
4.083709e-05 8.706678e-06 3.075000e+00 6.875000e+01
4.428733e-05 9.234857e-06 3.075000e+00 6.925000e+01
4.304384e-05 9.393282e-06 3.075000e+00 6.975000e+01
4.636440e-05 9.464328e-06 3.075000e+00 7.025000e+01
4.635777e-05 9.883696e-06 3.075000e+00 7.075000e+01
3.149106e-05 7.872885e-06 3.075000e+00 7.125000e+01
3.906286e-05 9.207398e-06 3.075000e+00 7.175000e+01
5.674545e-05 1.092105e-05 3.075000e+00 7.225000e+01
3.377550e-05 8.721022e-06 3.075000e+00 7.275000e+01
4.546231e-05 9.920959e-06 3.075000e+00 7.325000e+01
2.966238e-05 8.227163e-06 3.075000e+00 7.375000e+01
4.140527e-05 9.499225e-06 3.075000e+00 7.425000e+01
3.060903e-05 7.903409e-06 3.075000e+00 7.475000e+01
1.311492e-05 4.636921e-06 3.075000e+00 7.525000e+01
2.791357e-05 6.241807e-06 3.075000e+00 7.575000e+01
3.323018e-05 6.517171e-06 3.075000e+00 7.625000e+01
3.407031e-05 6.557021e-06 3.075000e+00 7.675000e+01
1.761987e-05 4.709189e-06 3.075000e+00 7.725000e+01
3.111472e-05 6.223062e-06 3.075000e+00 7.775000e+01
2.571769e-05 5.612175e-06 3.075000e+00 7.825000e+01
3.104235e-05 6.088012e-06 3.075000e+00 7.875000e+01
2.812315e-05 5.624739e-06 3.075000e+00 7.925000e+01
3.583597e-05 6.057493e-06 3.075000e+00 7.975000e+01
3.453112e-05 5.755276e-06 3.075000e+00 8.025000e+01
3.970640e-05 6.126949e-06 3.075000e+00 8.075000e+01
2.857681e-05 5.217441e-06 3.075000e+00 8.125000e+01
3.845621e-05 6.080520e-06 3.075000e+00 8.175000e+01
4.094726e-05 6.318344e-06 3.075000e+00 8.225000e+01
3.928888e-05 6.291290e-06 3.075000e+00 8.275000e+01
3.614451e-05 6.198774e-06 3.075000e+00 8.325000e+01
3.719081e-05 6.033171e-06 3.075000e+00 8.375000e+01
3.088018e-05 4.944800e-06 3.075000e+00 8.425000e+01
2.000952e-05 3.781450e-06 3.075000e+00 8.475000e+01
1.730787e-05 3.870167e-06 3.075000e+00 8.525000e+01
1.452259e-05 5.928835e-06 3.075000e+00 8.575000e+01
0.000000e+00 0.000000e+00 3.075000e+00 8.625000e+01
nan nan 3.075000e+00 8.675000e+01
nan nan 3.075000e+00 8.725000e+01
nan nan 3.075000e+00 8.775000e+01
nan nan 3.075000e+00 8.825000e+01
nan nan 3.075000e+00 8.875000e+01
nan nan 3.075000e+00 8.925000e+01
nan nan 3.075000e+00 8.975000e+01
nan nan 3.075000e+00 9.025000e+01
nan nan 3.075000e+00 9.075000e+01
nan nan 3.075000e+00 9.125000e+01
nan nan 3.075000e+00 9.175000e+01
nan nan 3.075000e+00 9.225000e+01
nan nan 3.075000e+00 9.275000e+01
nan nan 3.075000e+00 9.325000e+01
nan nan 3.075000e+00 9.375000e+01
